RuleId,Base,Keys,Reference,Support,LowCut,HighCut,LowTarget,MaleHigh,OOFAccuracy,FoldMean,FoldStd,PositivePredictions
R0367,female_master,UnionGroup,female_child16,1,0.25,1.0,female,master,0.8338945005611672,0.83053041240349,0.024697659057319372,164
R0050,gender,TicketNormalized,female_master,1,0.0,1.0,female,young,0.8338945005611672,0.8305191136777351,0.02441647854731681,152
R0053,gender,TicketNormalized,female_master,1,0.0,1.0,female_master,young,0.8338945005611672,0.8305191136777351,0.02441647854731681,152
R0056,gender,TicketNormalized,female_master,1,0.25,1.0,female,young,0.8338945005611672,0.8305191136777351,0.02441647854731681,152
R0059,gender,TicketNormalized,female_master,1,0.25,1.0,female_master,young,0.8338945005611672,0.8305191136777351,0.02441647854731681,152
R0074,gender,TicketNormalized,female_child16,1,0.0,1.0,female,young,0.8338945005611672,0.8305191136777351,0.02441647854731681,152
R0077,gender,TicketNormalized,female_child16,1,0.0,1.0,female_master,young,0.8338945005611672,0.8305191136777351,0.02441647854731681,152
R0080,gender,TicketNormalized,female_child16,1,0.25,1.0,female,young,0.8338945005611672,0.8305191136777351,0.02441647854731681,152
R0083,gender,TicketNormalized,female_child16,1,0.25,1.0,female_master,young,0.8338945005611672,0.8305191136777351,0.02441647854731681,152
R0391,female_child12,FamilyID,female_master,1,0.25,1.0,female,master,0.8338945005611672,0.8296327914129684,0.024326394162149996,159
R0415,female_child12,FamilyID,female_child16,1,0.25,1.0,female,master,0.8338945005611672,0.8296327914129684,0.024326394162149996,159
R0001,gender,FamilyID,female_master,1,0.0,1.0,female,master,0.8338945005611672,0.8285016634235138,0.022913586165623227,152
R0004,gender,FamilyID,female_master,1,0.0,1.0,female_master,master,0.8338945005611672,0.8285016634235138,0.022913586165623227,152
R0025,gender,FamilyID,female_child16,1,0.0,1.0,female,master,0.8338945005611672,0.8285016634235138,0.022913586165623227,152
R0028,gender,FamilyID,female_child16,1,0.0,1.0,female_master,master,0.8338945005611672,0.8285016634235138,0.022913586165623227,152
R0279,female_master,TicketNormalized,female_child16,2,0.0,1.0,female_master,none,0.8327721661054994,0.8327612830330802,0.023902785461099255,164
R0280,female_master,TicketNormalized,female_child16,2,0.0,1.0,female_master,master,0.8327721661054994,0.8327612830330802,0.023902785461099255,164
R0281,female_master,TicketNormalized,female_child16,2,0.0,1.0,female_master,young,0.8327721661054994,0.8327612830330802,0.023902785461099255,165
R0285,female_master,TicketNormalized,female_child16,2,0.25,1.0,female_master,none,0.8327721661054994,0.8327612830330802,0.023902785461099255,164
R0286,female_master,TicketNormalized,female_child16,2,0.25,1.0,female_master,master,0.8327721661054994,0.8327612830330802,0.023902785461099255,164
R0287,female_master,TicketNormalized,female_child16,2,0.25,1.0,female_master,young,0.8327721661054994,0.8327612830330802,0.023902785461099255,165
R0447,female_child12,TicketNormalized,female_master,2,0.0,1.0,female_master,none,0.8327721661054994,0.8318624066285858,0.024662165747465537,157
R0448,female_child12,TicketNormalized,female_master,2,0.0,1.0,female_master,master,0.8327721661054994,0.8318624066285858,0.024662165747465537,159
R0449,female_child12,TicketNormalized,female_master,2,0.0,1.0,female_master,young,0.8327721661054994,0.8318624066285858,0.024662165747465537,159
R0453,female_child12,TicketNormalized,female_master,2,0.25,1.0,female_master,none,0.8327721661054994,0.8318624066285858,0.024662165747465537,157
R0454,female_child12,TicketNormalized,female_master,2,0.25,1.0,female_master,master,0.8327721661054994,0.8318624066285858,0.024662165747465537,159
R0455,female_child12,TicketNormalized,female_master,2,0.25,1.0,female_master,young,0.8327721661054994,0.8318624066285858,0.024662165747465537,159
R0290,female_master,FamilyID+TicketNormalized,female_master,1,0.0,1.0,female,young,0.8327721661054994,0.8307551315046137,0.024370676851992623,166
R0296,female_master,FamilyID+TicketNormalized,female_master,1,0.25,1.0,female,young,0.8327721661054994,0.8307551315046137,0.024370676851992623,165
